
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
BC[3] ice gas : scaled=0.015435344824434222   physical≈1.4618194397389906e22 m^-2/s
Total PDE = 2.2600665283580267e-5
Total BC  = 1.2594446861078021
Grand Total = 1.2594672867730856
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.639 K, n=9.959e20 m^-3
[22] loss = 1.25969  (297.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.696 K, n=9.9611e20 m^-3
[23] loss = 1.25988  (299.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.747 K, n=9.9656e20 m^-3
[24] loss = 1.26006  (301.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.793 K, n=9.9717e20 m^-3
[25] loss = 1.26021  (303.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.835 K, n=9.9788e20 m^-3
[26] loss = 1.26035  (305.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.873 K, n=9.9866e20 m^-3
[27] loss = 1.26047  (307.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.908 K, n=9.9948e20 m^-3
[28] loss = 1.26058  (310.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.939 K, n=1.0003e21 m^-3
[29] loss = 1.26068  (311.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.967 K, n=1.0011e21 m^-3
[30] loss = 1.26076  (313.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.993 K, n=1.0018e21 m^-3
[31] loss = 1.26083  (316.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.016 K, n=1.0025e21 m^-3
[32] loss = 1.2609  (320.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.037 K, n=1.0032e21 m^-3
[33] loss = 1.26095  (323.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.057 K, n=1.0037e21 m^-3
[34] loss = 1.26099  (326.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.074 K, n=1.0042e21 m^-3
[35] loss = 1.26103  (327.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.09 K, n=1.0047e21 m^-3
[36] loss = 1.26105  (330.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.104 K, n=1.0051e21 m^-3
[37] loss = 1.26107  (331.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.117 K, n=1.0053e21 m^-3
[38] loss = 1.26109  (334.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.129 K, n=1.0056e21 m^-3
[39] loss = 1.26109  (336.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.14 K, n=1.0057e21 m^-3
[40] loss = 1.26109  (338.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.15 K, n=1.0058e21 m^-3
[41] loss = 1.26109  (341.2s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2119668141097244e-5   physical≈6.845895079318287 W/m^3
PDE[2] gas eq : scaled=6.451564907398819e-8   physical≈2.988602121664593e19 m^-3/s
BC[1] surface : scaled=1.2300405997870938   physical≈0.1448856110778652 W/m^2
BC[2] ice heat : scaled=0.015512531542480706   physical≈181.2935169889127 W/m^2
BC[3] ice gas : scaled=0.015512730763654134   physical≈1.4654793137895661e22 m^-2/s
Total PDE = 2.2184183790171233e-5
Total BC  = 1.2610658620932287
Grand Total = 1.2610880462770189
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.159 K, n=1.0059e21 m^-3
[42] loss = 1.26108  (344.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.167 K, n=1.0058e21 m^-3
[43] loss = 1.26106  (346.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.174 K, n=1.0058e21 m^-3
[44] loss = 1.26105  (348.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.181 K, n=1.0056e21 m^-3
[45] loss = 1.26102  (351.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.187 K, n=1.0055e21 m^-3
[46] loss = 1.261  (354.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.193 K, n=1.0053e21 m^-3
[47] loss = 1.26097  (355.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.198 K, n=1.005e21 m^-3
[48] loss = 1.26093  (358.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.202 K, n=1.0048e21 m^-3
[49] loss = 1.2609  (361.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.207 K, n=1.0045e21 m^-3
[50] loss = 1.26086  (365.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.21 K, n=1.0041e21 m^-3
[51] loss = 1.26082  (366.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.214 K, n=1.0037e21 m^-3
[52] loss = 1.26077  (369.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.217 K, n=1.0033e21 m^-3
[53] loss = 1.26073  (371.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.22 K, n=1.0029e21 m^-3
[54] loss = 1.26068  (375.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.222 K, n=1.0025e21 m^-3
[55] loss = 1.26063  (378.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.225 K, n=1.002e21 m^-3
[56] loss = 1.26058  (380.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.227 K, n=1.0016e21 m^-3
[57] loss = 1.26052  (384.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.229 K, n=1.0011e21 m^-3
[58] loss = 1.26047  (387.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.23 K, n=1.0006e21 m^-3
[59] loss = 1.26041  (388.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.232 K, n=1.0001e21 m^-3
[60] loss = 1.26035  (391.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.233 K, n=9.9954e20 m^-3
[61] loss = 1.26029  (393.6s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.206824946853697e-5   physical≈6.837933575572268 W/m^3
PDE[2] gas eq : scaled=6.610069518965352e-8   physical≈3.0250919400561664e19 m^-3/s
BC[1] surface : scaled=1.229239330392809   physical≈0.14483841291296237 W/m^2
BC[2] ice heat : scaled=0.015514528936071198   physical≈181.30518829001932 W/m^2
BC[3] ice gas : scaled=0.015514737127184243   physical≈1.46557408076608e22 m^-2/s
Total PDE = 2.2134350163726623e-5
Total BC  = 1.2602685964560645
Grand Total = 1.260290730806228
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.235 K, n=9.99e20 m^-3
[62] loss = 1.26023  (397.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.236 K, n=9.9846e20 m^-3
[63] loss = 1.26017  (399.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.237 K, n=9.9791e20 m^-3
[64] loss = 1.2601  (401.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.238 K, n=9.9735e20 m^-3
[65] loss = 1.26004  (403.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.239 K, n=9.9677e20 m^-3
[66] loss = 1.25997  (405.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.24 K, n=9.9619e20 m^-3
[67] loss = 1.2599  (407.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.24 K, n=9.9561e20 m^-3
[68] loss = 1.25983  (408.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.241 K, n=9.9503e20 m^-3
[69] loss = 1.25977  (411.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.242 K, n=9.9444e20 m^-3
[70] loss = 1.25969  (413.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.242 K, n=9.9385e20 m^-3
[71] loss = 1.25962  (415.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.243 K, n=9.9325e20 m^-3
[72] loss = 1.25955  (417.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.243 K, n=9.9264e20 m^-3
[73] loss = 1.25948  (420.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.244 K, n=9.9204e20 m^-3
[74] loss = 1.2594  (421.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.244 K, n=9.9142e20 m^-3
[75] loss = 1.25933  (425.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.244 K, n=9.9081e20 m^-3
[76] loss = 1.25925  (426.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.245 K, n=9.9019e20 m^-3
[77] loss = 1.25918  (429.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.245 K, n=9.8957e20 m^-3
[78] loss = 1.2591  (433.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.245 K, n=9.8894e20 m^-3
[79] loss = 1.25902  (435.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.246 K, n=9.8831e20 m^-3
[80] loss = 1.25894  (437.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.246 K, n=9.8769e20 m^-3
[81] loss = 1.25886  (438.7s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.208435853539698e-5   physical≈6.840428849035464 W/m^3
PDE[2] gas eq : scaled=6.903256490614092e-8   physical≈3.0914524425879683e19 m^-3/s
BC[1] surface : scaled=1.2278351462143096   physical≈0.1447556633957594 W/m^2
BC[2] ice heat : scaled=0.015503110300758429   physical≈181.23845603860264 W/m^2
BC[3] ice gas : scaled=0.015503305638582543   physical≈1.465034052904447e22 m^-2/s
Total PDE = 2.215339110030312e-5
Total BC  = 1.2588415621536504
Grand Total = 1.2588637155447506
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.246 K, n=9.8706e20 m^-3
[82] loss = 1.25878  (441.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.246 K, n=9.8642e20 m^-3
[83] loss = 1.2587  (443.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.246 K, n=9.8579e20 m^-3
[84] loss = 1.25862  (446.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.246 K, n=9.8517e20 m^-3
[85] loss = 1.25854  (449.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8454e20 m^-3
[86] loss = 1.25846  (450.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8392e20 m^-3
[87] loss = 1.25837  (453.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8331e20 m^-3
[88] loss = 1.25829  (455.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8269e20 m^-3
[89] loss = 1.2582  (458.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8208e20 m^-3
[90] loss = 1.25812  (461.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8148e20 m^-3
[91] loss = 1.25803  (463.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.8089e20 m^-3
[92] loss = 1.25794  (466.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.247 K, n=9.803e20 m^-3
[93] loss = 1.25785  (468.8s)
